# Fonte curada do catalogo de corpos menores. Editar aqui e rodar o importador:
#   dotnet run --project Tools/CatalogImporter
#
# Elementos: JPL Horizons, elementos osculadores geometricos pedidos exatamente em
# JD 2451545.0, centro 500@10 (Sol), REF_PLANE=ECLIPTIC, REF_SYSTEM=ICRF, OUT_UNITS=AU-D.
# Por virem ja na epoca certa, epochJd vale 2451545.0 em todas as linhas e a conversao de
# epoca do importador nao tem o que fazer. Ela existe para a fonte que nao permite pedir
# a data, como o MPCORB, cujos elementos vem na epoca corrente.
#
# Tamanho e massa: JPL Small-Body Database (phys_par) quando ha, literatura quando nao ha.
# A coluna note diz de onde veio cada numero. muKm3S2 e densityGCm3 sao exclusivos.
# yarkovskyDaAuPerMyr e radiationPressureBeta sao opcionais: so quem teve o efeito
# medido os traz. colorRgb vazio significa a cor da classe.
#
id,name,kind,family,colorRgb,epochJd,semiMajorAxisAu,eccentricity,inclinationDeg,longitudeOfAscendingNodeDeg,argumentOfPeriapsisDeg,meanAnomalyDeg,radiusKm,muKm3S2,densityGCm3,yarkovskyDaAuPerMyr,radiationPressureBeta,note
ceres,Ceres,asteroid,Cinturão principal,#C9C0B0,2451545.0,2.766496019994375,0.07837562647163041,10.58336045805628,80.49435747295276,73.92286274285223,6.176654513180486,469.7,62.6284,,,,"Planeta anão. GM e diâmetro medidos pela Dawn, via SBDB."
pallas,Palas,asteroid,Cinturão principal,,2451545.0,2.772322475089011,0.2296435321697976,34.84614003622473,173.1977991340821,310.2656379003444,352.9602856167207,256.5,13.63,,,,"GM e diâmetro do SBDB. A inclinação de 34,8° é a maior do cinturão principal."
vesta,Vesta,asteroid,Cinturão principal,,2451545.0,2.361534934739072,0.09002244561937413,7.133935828421654,103.9514370845001,149.5866679599199,341.0238343838706,261.385,17.2882844,,,,"GM e diâmetro medidos pela Dawn, via SBDB."
hygiea,Hígia,asteroid,Cinturão principal,,2451545.0,3.138421324853723,0.1194647926154634,3.842651449337091,283.6632054163321,314.3682343023398,339.2148139451292,203.56,7.0,,,,"GM e diâmetro do SBDB."
eros,Eros,nearEarthAsteroid,Amor,,2451545.0,1.458339407824060,0.2227585463818351,10.82844050869488,304.4156610725765,178.6458706145036,57.69232527092141,8.42,4.463e-4,,,,"GM medido pela NEAR Shoemaker, via SBDB. Raio médio de 8,42 km para um corpo de 34x11x11 km."
itokawa,Itokawa,nearEarthAsteroid,Apolo,,2451545.0,1.324945731521161,0.2805282351306318,1.717090060975622,71.61397274240683,160.1384777187778,44.09133669689545,0.165,2.1e-9,,,,"GM medido pela Hayabusa, via SBDB."
bennu,Bennu,nearEarthAsteroid,Apolo,,2451545.0,1.128923362467880,0.2046521729007511,6.025536314644479,2.178544486232719,65.67192633324575,35.41801662915039,0.24222,4.8904e-9,,-0.0019,,"GM medido pela OSIRIS-REx, via SBDB. Yarkovsky −19×10⁻⁴ UA/Myr (Chesley et al. 2014)."
ryugu,Ryugu,nearEarthAsteroid,Apolo,,2451545.0,1.189053951974444,0.1900160695538676,5.884476449245160,251.7267381018288,211.2722442242465,288.6528279469740,0.448,3.00e-8,,,,"GM medido pela Hayabusa 2, via SBDB."
apophis,Apophis,nearEarthAsteroid,Aten,,2451545.0,0.9223418470584992,0.1913926355906355,3.331245834187804,204.6568222256703,126.0648404743601,232.1807985958005,0.170,,2.6,,,"Raio do Horizons. Sem GM medido: densidade típica de tipo S."
achilles,Aquiles,trojan,Troiano de Júpiter (L4),,2451545.0,5.182568403446787,0.1486568348772998,10.32812768369519,316.5831671188615,132.1362560649956,11.75036895412703,65.0495,,1.3,,,"Diâmetro do SBDB. Sem GM medido: densidade típica de troiano tipo D."
hektor,Héctor,trojan,Troiano de Júpiter (L4),,2451545.0,5.209382515343233,0.02313726659122605,18.21022036498856,342.7908032229638,179.2553810563498,313.6516963100735,112.5,,1.0,,,"Maior troiano conhecido. Raio do Horizons; densidade da órbita do satélite Skamandrios."
eurybates,Euríbates,trojan,Troiano de Júpiter (L4),,2451545.0,5.143715007683525,0.09104886608687410,8.082636676832978,43.52651130810499,26.52965987756288,39.66877658494174,31.9425,,1.3,,,"Alvo da missão Lucy. Diâmetro do SBDB; densidade típica de troiano tipo C."
patroclus,Pátroclo,trojan,Troiano de Júpiter (L5),,2451545.0,5.225536833096075,0.1392144878174891,22.05177828259621,44.42204400778891,307.3013815689980,340.5787686187503,70.181,,0.88,,,"Binário com Menécio, também alvo da Lucy. Densidade medida do par."
aeneas,Eneias,trojan,Troiano de Júpiter (L5),,2451545.0,5.179653120222099,0.1045374041123879,16.70246681203935,247.4544203377416,48.64492069110278,46.15265761768797,59.01,,1.3,,,"Diâmetro do SBDB. Sem GM medido: densidade típica de troiano tipo D."
chiron,Quíron,centaur,Centauro,,2451545.0,13.60507295259335,0.3793438806104252,6.941566477684404,209.3966703243138,339.1420137446732,27.99722098958118,83.0,,1.0,,,"Primeiro centauro descoberto, e também cometa 95P: tem coma e anéis. Raio do Horizons."
